image;;epaisseur;;degré invagination
GLUCO14004 IHC2 CK10 GCp0152.tif;;222,3793;;1,34491
GLUCO14004 IHC2 CK10 GCp0154.tif;;216,9231;;1,049956
GLUCO14004 IHC2 CK10 GCp0155.tif;;137,92;;1,477225
GLUCO14004 IHC2 CK10 GCp0156.tif;;123,6552;;1,014413
GLUCO14004 IHC2 CK10 GCp0157.tif;;103,5926;;1,152941
GLUCO14004 IHC2 CK10 GCp0159.tif;;142,6364;;1,380133
GLUCO14004 IHC2 CK10 GCp0160.tif;;166,7241;;1,293612
GLUCO14004 IHC2 CK10 GCp0161.tif;;161,7391;;1,429858
GLUCO14004 IHC2 CK10 GCp0162.tif;;124,08;;1,280972
GLUCO14004 IHC2 CK10 GCp0163.tif;;151,9259;;1,054669
GLUCO14004 IHC2 CK10 GCp0165.tif;;157,6207;;1,036048
GLUCO14004 IHC2 CK10 GCp0166.tif;;130,0741;;1,226033
GLUCO14004 IHC2 CK10 GCp0168.tif;;146,5714;;1,474147
GLUCO14004 IHC2 CK10 GCp0169.tif;;151,3636;;1,790709
GLUCO14004 IHC2 CK10 GCp0170.tif;;164,9474;;1,024655
;;;;
;;153,47686;;1,2686854
;;32,03702526;;0,22206475